Cluster,Conteggio,'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Active','Inactive','Dirty','Writeback','Mapped','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed'
1,82,"152626,73171","150721,85366","25603,902439","25485,512195",160,"30,597560976","5601766,4878","33865,463415","335975,70732","6,938894e-18","142088,29268","305552,19512","5601766,4878","173,36585366","77775,414634","23773,95122","28728,829268","7200,3414634","296388,43902","1287,4390244"
2,9,"168470,66667","168239,55556","30999,555556",30964,"195,55555556","23,888888889","4755415,1111","96352,444444","1032846,6667",0,"364586,22222","850453,33333","4755415,1111","135004,44444","85770,222222","24333,333333","107299,11111","7645,7777778","316247,11111","1473,3333333"
3,1230,"172342,40325","170330,23089","32628,006504","31552,110569",200,"31,516260163","4637806,0715","129766,55285","1117180,6862","0,0056910569","414486,29268","916349,68455","4637806,0715","465,15772358","83879,004878","23740,338211","109495,6878","7206,904065","316163,99675","1326,8292683"
4,923,"172596,79307","170470,4442","33155,644637","31883,692308","200,35102925","32,412784399","4585008,7454","180261,31311","1117735,3803","0,0043336945","452432,16468","929789,10509","4585008,7454","124,17334778","84215,778982","23840,130011","110873,03575","7206,9122427","316314,8169","1588,0173348"
5,978,"173412,53988","170874,38446","33586,335378","32161,746421","201,38650307","38,615541922","4584777,2106","180010,92434","1117724,1677","0,0020449898","452090,83845","930146,45399","4584777,2106","124,2208589","84493,93865","23829,90184","111126,51534","7207,9468303","316694,21677","984,01840491"
6,1,172388,170340,32696,31460,200,33,4635532,132072,1117192,111,412036,921028,4635532,164,83800,23740,109580,7208,316560,1530
7,5,"160227,2","158997,6","27864,8","27778,4","175,2","58,2","4999288,8",83848,"774548,8","6,938894e-18",395888,589960,"4999288,8","121324,8","127426,4",28324,"92523,2","7998,4","352653,6",2040
8,2,170344,170340,31144,31140,200,"47,5",4563622,92182,1175070,"6,938894e-18",569560,832332,4563622,392016,134502,29956,111502,8026,365478,1785
9,264,"213051,06061","206408,51515","59767,787879","54113,909091","309,83333333","93,321969697","4536468,4848","204237,15152","1118430,0909","-2,15106e-16","520754,22727","908410,18182","4536468,4848","94,636363636","106513,24242","23854,19697","111684,01515","7336,1666667","347656,25758","869,31818182"
10,1500,"190100,62933","183856,56","42555,36","37527,28","246,81333333","95,027333333","4558055,1013","197591,344","1118105,1013","0,118","486704,392","918854,13867","4558055,1013","90,946666667","89875,021333","23848,082667","114194,47733","7251,888","330382,31733","988,38"
