Cluster,Conteggio,Principale1,Principale2,Principale3
1,82,"-14,94273121","11,752812271","-2,072287626"
2,6,"-1,843028383","12,758344461","25,221127618"
3,2,"5,8200778565","12,188459162","47,483136061"
4,8,"-1,712886754","3,1726713347","10,953555713"
5,2152,"-1,099201258","-1,127121061","0,2177810555"
6,982,"-2,080115716","-0,6019077","-0,079859358"
7,646,"1,8133020262","0,2109247526","-0,231141465"
8,855,"2,9515138631","0,9128295856","-0,259143883"
9,250,"7,3620395298","3,7492036426","-0,827997937"
10,11,"10,102951175","6,597393362","2,1498227764"
